岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
壽山,南面,SS-SOUTH-FACE-008,蜥蜴的午餐,Lizard's Lunch,5.10d,0,,,
壽山,南面,SS-SOUTH-FACE-009,岩角左線,Arete Left,5.10c,0,,,
壽山,南面,SS-SOUTH-FACE-010,上天梯,Stairway to Heaven,5.9,0,,,
壽山,南面,SS-SOUTH-FACE-011,新打,New Route,5.10a,0,,,
壽山,天橋下,SS-UNDER-BRIDGE-001,Skywalker,Skywalker,5.10d,0,,,
壽山,天橋下,SS-UNDER-BRIDGE-002,Skywalker 2,Skywalker 2,5.10c,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-001,霸氣CEO,Domineering CEO,5.11a,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-002,左右為難,In a Dilemma,5.10d,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-003,橋下風光,Under Bridge,5.11a,1,柴山攀岩（橋下風光）by無人 | https://www.youtube.com/watch?v=14zOqJ5I1ek,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-004,"Never Stop, Smile No matter What","Never Stop, Smile No matter What",5.10b,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-005,心悸,Palpitation,5.10d,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-006,我在絕情谷底,Unrelenting Valley,5.11a,1,"我在絕情谷底 6c/11b Unrelenting valley @ 壽山, 高雄 | https://www.youtube.com/watch?v=jDwIchtmWH4",,
壽山,絕情谷,SS-HEARTLESS-VALLEY-007,情花無毒,Love Flower Non-toxic,5.10b,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-008,La Bella Bella,La Bella Bella,5.11b,1,"My first 6C+/ 5.11C La Bella Bella. Rock climbing route in Shoushan, Kaoshiung City | https://www.youtube.com/watch?v=Sk7NCRV0F1Q",,
壽山,絕情谷,SS-HEARTLESS-VALLEY-009,險角,Danger Arete,5.12a,5,"壽山攀岩場「險角」5.12a | https://www.youtube.com/watch?v=vwo729huj6Q
壽山天然岩場「險角」5.12a | https://www.youtube.com/watch?v=lDnJiGMYhac
My first 7a+ / 12a Rock climbing route (險角Danger Arete@ 壽山, 高雄) | https://www.youtube.com/watch?v=6Vm6UpAp6Tk
險角5.12a_小馬 | https://www.youtube.com/watch?v=EXXyHYX_2dE
險角 千光寺（掛扣版本）5.12a climber阿亮 | https://www.youtube.com/watch?v=NdjMZXrV0eU",,
壽山,絕情谷,SS-HEARTLESS-VALLEY-010,Blood Pinky,Blood Pinky,5.12d,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-011,台版美女與野獸,B&B IN TAIWAN,5.9,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-012,海港下午茶,Harbor Afternoon Tea,5.11b,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-013,不是我愛劈腿,Not That I Love Cheating,5.7,0,,,
壽山,一線天,SS-SKYLINE-001,Doggy style,Doggy style,5.10c,0,,,
壽山,一線天,SS-SKYLINE-002,Hard right,Hard right,5.11d,0,,,
壽山,一線天,SS-SKYLINE-003,"Squatting monkey, hidden nuggets","Squatting monkey, hidden nuggets",5.10c,0,,,
壽山,一線天,SS-SKYLINE-004,Unhappy ending,Unhappy ending,5.11a,1,柴山一線天「Unhappy ending」 | https://www.youtube.com/watch?v=32gxnlr1upA,,
壽山,一線天,SS-SKYLINE-005,Skyline fun,Skyline fun,5.10b,0,,,
壽山,一線天,SS-SKYLINE-006,Hole lots of awesome,Hole lots of awesome,5.11d,0,,,
壽山,一線天,SS-SKYLINE-007,Skyline awesome,Skyline awesome,5.12a,1,00-「Skyline awesome 」 | https://www.youtube.com/watch?v=3rQEPLpy48g,,
壽山,一線天,SS-SKYLINE-008,Skyline awkward,Skyline awkward,5.12c,1,柴山一線天「Skyline Awkward」 | https://www.youtube.com/watch?v=hG0y4ymK7vQ,,
壽山,一線天,SS-SKYLINE-009,Ay caramba!,Ay caramba!,5.11b,0,,,
壽山,一線天,SS-SKYLINE-010,Crazy pills,Crazy pills,5.11a,1,柴山一線天「Crazy pills」5.11a | https://www.youtube.com/watch?v=ltKcnOul1yo,,
壽山,一線天,SS-SKYLINE-011,Naturally sculpted,Naturally sculpted,5.6,0,,,
壽山,一線天,SS-SKYLINE-012,Show me the money,Show me the money,5.6,0,,,
壽山,一線天,SS-SKYLINE-013,Who's your daddy,Who's your daddy,5.11d,0,,,
壽山,一線天,SS-SKYLINE-014,"Sack up, then send","Sack up, then send",5.11c,0,,,
壽山,一線天,SS-SKYLINE-015,Steebun 1,Steebun 1,5.10b,0,,,
壽山,一線天,SS-SKYLINE-016,Steebun 2,Steebun 2,5.11c,0,,,
壽山,一線天,SS-SKYLINE-017,Little skyline right,Little skyline right,5.7,0,,,
壽山,一線天,SS-SKYLINE-018,Little skyline left,Little skyline left,5.9,0,,,
壽山,大峽谷,SS-GRAND-CANYON-001,Cutlass,Cutlass,5.11c,0,,,
壽山,大峽谷,SS-GRAND-CANYON-002,Walk the Plank,Walk the Plank,5.10b,0,,,
壽山,大峽谷,SS-GRAND-CANYON-003,Pirate's hook,Pirate's hook,5.10b,0,,,
壽山,大峽谷,SS-GRAND-CANYON-004,Bunghole,Bunghole,5.12d,0,,,
壽山,大峽谷,SS-GRAND-CANYON-005,Power oh balance,Power oh balance,5.11d,0,,,
壽山,大峽谷,SS-GRAND-CANYON-006,Big butts on Saturday night,Big butts on Saturday night,5.11b,0,,,
壽山,大峽谷,SS-GRAND-CANYON-007,Midlife crisis,Midlife crisis,5.12a,0,,,
壽山,大峽谷,SS-GRAND-CANYON-008,Balls out,Balls out,5.12a,0,,,
壽山,大峽谷,SS-GRAND-CANYON-009,Balls in,Balls in,5.11d,0,,,
壽山,大峽谷,SS-GRAND-CANYON-010,Desperado,Desperado,5.12b,0,,,
壽山,大峽谷,SS-GRAND-CANYON-011,Sinner,Sinner,5.12b,0,,,
壽山,大峽谷,SS-GRAND-CANYON-012,Grace,Grace,5.11d,0,,,
壽山,大峽谷,SS-GRAND-CANYON-013,Scare tactics,Scare tactics,5.11b,0,,,
壽山,大峽谷,SS-GRAND-CANYON-014,Reach around,Reach around,5.12a,0,,,
