岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
關子嶺,神秘谷,GZ-MYSTERIOUS-003,右耳,The Right Ear,5.10a,1,關仔嶺天然岩場 神秘谷 Route「右耳」6A(5.10a) - On sight | https://www.youtube.com/watch?v=KZk5eR826z8,,
關子嶺,神秘谷,GZ-MYSTERIOUS-004,左耳,The Left Ear,5.10b,0,,,
關子嶺,神秘谷,GZ-MYSTERIOUS-005,一陽指,One Rigid Finger,5.11b,2,"關子嶺攀岩場「一陽指」5.11b | https://www.youtube.com/watch?v=zezYo3Rc_Eo
關子嶺 神秘谷“一陽指” 5.11b | https://www.youtube.com/watch?v=-Zqd0Ao_Dz8",,
關子嶺,神秘谷,GZ-MYSTERIOUS-006,錦蛇,The Beautiful Snake,5.10d,0,,,
關子嶺,神秘谷,GZ-MYSTERIOUS-007,鼻孔,The Nostril,5.10c,3,"關子嶺攀岩場「鼻孔」5.10c | https://www.youtube.com/watch?v=KV83jAEDs8A
關仔嶺天然岩場 神秘谷 Route「鼻孔」6B(5.10c) - redpoint | https://www.youtube.com/watch?v=ae0bKlHCstY
小紅「鼻孔」5.10c | https://www.youtube.com/watch?v=8n9Dwb5HgTI",,
關子嶺,神秘谷,GZ-MYSTERIOUS-008,鼻樑,The Bridge of the Nose,5.11c,0,,,
關子嶺,神秘谷,GZ-MYSTERIOUS-009,痛,Pain,5.10b,0,,,
關子嶺,神秘谷,GZ-MYSTERIOUS-010,怕怕,Fear,5.12c,0,,,
關子嶺,毒刺林,GZ-DOUCILIN-001,白虎,The White Tiger,5.11d,9,"關子嶺攀岩場「白虎」5.11d | https://www.youtube.com/watch?v=z2jWqS8O2xk
關子嶺毒刺林 白虎5.11d 第3-6次嘗試 | https://www.youtube.com/watch?v=J3rhzpCLaRE
白虎 5.11d 關子嶺攀岩場 | https://www.youtube.com/watch?v=QOvk_rZqp9I
關子嶺毒刺林白虎5.11d 第2次嘗試(超伸展浮誇式) | https://www.youtube.com/watch?v=_mc7Fffab_w
關子嶺 毒刺林 白虎5.11d 第7-8趟嘗試 | https://www.youtube.com/watch?v=b5EPRGVzKjo
白虎-關子嶺 5.11d | https://www.youtube.com/watch?v=2NK9HWYNZT8
閃電「白虎」5.11d | https://www.youtube.com/watch?v=ZlPLTN9MjPw
蔡導「白虎」5.11d | https://www.youtube.com/watch?v=KTWd-ZZfnI8
Kate asending 白虎(5.11D) 關子嶺 | https://www.youtube.com/watch?v=A91kqPdB2WY",,
關子嶺,毒刺林,GZ-DOUCILIN-002,雞肉飯,Chicken Rice,5.12d,4,"關子嶺攀岩＿雞肉飯 5.12d | https://www.youtube.com/watch?v=5ZPNFklZVB0
關子嶺攀岩場「雞肉飯」5.12d | https://www.youtube.com/watch?v=BTcOHh3XMMk
關子嶺-毒刺林 雞肉飯5.12d | https://www.youtube.com/watch?v=y6tOnFH8Y4k
雞肉飯 5.12d 關仔嶺岩場 | https://www.youtube.com/watch?v=aOSFb99ZvGc",,
關子嶺,毒刺林,GZ-DOUCILIN-003,毒領風騷,Clueless,5.13d,1,"小魏-毒領風騷難關 | https://www.youtube.com/watch?v=Vt7s57W5k4M
關子嶺攀岩_毒嶺風騷 5.13d | https://www.youtube.com/watch?v=-Q9YNPpDgDM",,
